시도별 고등교육기관 신입생 충원율(2010-2024),,,,,,,,,,,,,,,,,,
* 출처: 한국교육개발원 교육통계서비스(https://kess.kedi.re.kr),,,,,,,,,,,,,,,,,,
* 조사기준일 : 해당연도 4월 1일,,,,,,,,,,,,,,,,,,
* [대학원 외] 신입생 충원률(%) = (정원내 입학자수) / (정원내 모집인원) ×100,,,,,,,,,,,,,,,,,,
* [대학원] 신입생 충원률(%) = (정원내 입학자 수/입학정원)×100,,,,,,,,,,,,,,,,,,
* 대학원은 모집인원을 조사하지 않아 정원 내 모집인원 대신 입학정원으로 산출(대학원 입학정원은 정원내/외로 구분되지 않음),,,,,,,,,,,,,,,,,,
* 대학원 입학생은 2013년까지 정원 내/외로 구분되지 않아 전체 입학생수를 사용함(2013년 이후 정원내외 구분함).,,,,,,,,,,,,,,,,,,
"* ""고등교육기관 전체""는 일반대학, 전문대학, 대학원 뿐만 아니라 교육대학, 산업대학, 방송통신대학, 기술대학, 각종학교, 원격대학, 사이버대학, 사내대학, 전공대학, 기능대학을 포함함",,,,,,,,,,,,,,,,,,
조사년도,시도,고등교육기관 전체,,,일반대학,,,전문대학,,,대학원,,,,,,,
,,"정원내
모집인원","정원내
입학생수","신입생
충원율","정원내
모집인원","정원내
입학생수","신입생
충원율","정원내
모집인원","정원내
입학생수","신입생
충원율",입학정원,정원내 입학생수,"신입생
충원율",,,,,
2012,충북," 30,872 "," 29,879 ", 96.8 ," 17,829 "," 17,549 ", 98.4 ," 7,937 "," 7,614 ", 95.9 ," 4,264 "," 4,027 ", 94.4 ,,,,,
2012,충남," 50,662 "," 49,912 ", 98.5 ," 32,671 "," 32,509 ", 99.5 ," 8,985 "," 8,874 ", 98.8 ," 5,562 "," 5,414 ", 97.3 ,,,,,
2012,전북," 32,692 "," 31,021 ", 94.9 ," 16,005 "," 15,921 ", 99.5 ," 8,694 "," 7,858 ", 90.4 ," 4,500 "," 4,323 ", 96.1 ,,,,,
2012,전남," 21,763 "," 20,669 ", 95.0 ," 9,635 "," 9,461 ", 98.2 ," 10,395 "," 9,681 ", 93.1 ," 1,578 "," 1,372 ", 86.9 ,,,,,
2012,경북," 55,422 "," 51,664 ", 93.2 ," 29,689 "," 29,139 ", 98.1 ," 16,982 "," 15,111 ", 89.0 ," 5,781 "," 5,218 ", 90.3 ,,,,,
2012,경남," 31,457 "," 30,480 ", 96.9 ," 14,770 "," 14,654 ", 99.2 ," 11,405 "," 10,697 ", 93.8 ," 4,132 "," 3,939 ", 95.3 ,,,,,
2012,제주," 6,941 "," 6,564 ", 94.6 ," 3,124 "," 2,879 ", 92.2 ," 2,981 "," 2,886 ", 96.8 , 836 , 799 , 95.6 ,,,,,
2012,전국," 793,832 "," 739,493 ", 93.2 ," 342,004 "," 339,376 ", 99.2 ," 209,313 "," 201,978 ", 96.5 ," 129,700 "," 126,116 ", 97.2 ,,,,,
2013,서울," 224,733 "," 188,546 ", 83.9 ," 72,358 "," 72,051 ", 99.6 ," 16,460 "," 16,460 ", 100.0 ," 56,205 "," 56,267 ", 100.1 ,,,,,
2013,부산," 57,972 "," 57,549 ", 99.3 ," 32,793 "," 32,791 ", 100.0 ," 15,273 "," 15,064 ", 98.6 ," 8,450 "," 8,318 ", 98.4 ,,,,,
2013,대구," 32,380 "," 32,013 ", 98.9 ," 10,013 "," 9,940 ", 99.3 ," 15,052 "," 14,865 ", 98.8 ," 4,895 "," 4,788 ", 97.8 ,,,,,
2013,인천," 18,044 "," 17,804 ", 98.7 ," 6,567 "," 6,533 ", 99.5 ," 6,521 "," 6,521 ", 100.0 ," 3,253 "," 3,047 ", 93.7 ,,,,,
2013,광주," 28,127 "," 27,617 ", 98.2 ," 14,936 "," 14,885 ", 99.7 ," 6,842 "," 6,651 ", 97.2 ," 5,663 "," 5,394 ", 95.2 ,,,,,
2013,대전," 37,640 "," 37,135 ", 98.7 ," 19,725 "," 19,516 ", 98.9 ," 8,641 "," 8,557 ", 99.0 ," 7,864 "," 8,121 ", 103.3 ,,,,,
2013,울산," 8,413 "," 8,028 ", 95.4 ," 3,601 "," 3,598 ", 99.9 ," 2,639 "," 2,639 ", 100.0 ," 1,673 "," 1,291 ", 77.2 ,,,,,
2013,세종," 4,891 "," 4,738 ", 96.9 ," 2,983 "," 2,918 ", 97.8 ," 1,437 "," 1,430 ", 99.5 , 471 , 390 , 82.8 ,,,,,
2013,경기," 115,594 "," 113,878 ", 98.5 ," 40,557 "," 40,311 ", 99.4 ," 59,403 "," 59,400 ", 100.0 ," 12,789 "," 12,196 ", 95.4 ,,,,,
2013,강원," 28,366 "," 27,213 ", 95.9 ," 18,202 "," 17,832 ", 98.0 ," 6,301 "," 6,018 ", 95.5 ," 3,322 "," 2,823 ", 85.0 ,,,,,
2013,충북," 30,355 "," 29,569 ", 97.4 ," 17,717 "," 17,596 ", 99.3 ," 7,607 "," 7,299 ", 96.0 ," 4,290 "," 3,945 ", 92.0 ,,,,,
2013,충남," 45,046 "," 43,851 ", 97.3 ," 29,404 "," 28,684 ", 97.6 ," 7,229 "," 7,210 ", 99.7 ," 4,991 "," 4,912 ", 98.4 ,,,,,
2013,전북," 31,390 "," 29,461 ", 93.9 ," 15,955 "," 15,269 ", 95.7 ," 8,195 "," 7,373 ", 90.0 ," 4,483 "," 4,331 ", 96.6 ,,,,,
2013,전남," 21,065 "," 19,633 ", 93.2 ," 9,441 "," 8,999 ", 95.3 ," 9,901 "," 9,046 ", 91.4 ," 1,568 "," 1,433 ", 91.4 ,,,,,
2013,경북," 51,828 "," 47,892 ", 92.4 ," 28,572 "," 27,383 ", 95.8 ," 15,405 "," 13,919 ", 90.4 ," 5,751 "," 4,990 ", 86.8 ,,,,,
2013,경남," 30,720 "," 29,735 ", 96.8 ," 15,191 "," 15,009 ", 98.8 ," 10,083 "," 9,722 ", 96.4 ," 4,133 "," 3,726 ", 90.2 ,,,,,
2013,제주," 6,921 "," 6,511 ", 94.1 ," 3,136 "," 2,751 ", 87.7 ," 2,929 "," 2,872 ", 98.1 , 856 , 888 , 103.7 ,,,,,
2013,전국," 773,485 "," 721,173 ", 93.2 ," 341,151 "," 336,066 ", 98.5 ," 199,918 "," 195,046 ", 97.6 ," 130,657 "," 126,860 ", 97.1 ,,,,,
2014,서울," 236,801 "," 188,376 ", 79.6 ," 74,327 "," 73,740 ", 99.2 ," 16,400 "," 16,399 ", 100.0 ," 55,829 "," 51,079 ", 91.5 ,,,,,
2014,부산," 58,078 "," 56,709 ", 97.6 ," 32,665 "," 32,537 ", 99.6 ," 14,708 "," 14,479 ", 98.4 ," 8,449 "," 7,584 ", 89.8 ,,,,,
2014,대구," 31,667 "," 30,942 ", 97.7 ," 10,043 "," 9,936 ", 98.9 ," 14,441 "," 14,281 ", 98.9 ," 4,765 "," 4,308 ", 90.4 ,,,,,
2014,인천," 17,894 "," 17,445 ", 97.5 ," 6,529 "," 6,489 ", 99.4 ," 6,481 "," 6,481 ", 100.0 ," 3,306 "," 2,898 ", 87.7 ,,,,,
2014,광주," 27,929 "," 27,225 ", 97.5 ," 14,898 "," 14,759 ", 99.1 ," 6,602 "," 6,589 ", 99.8 ," 5,713 "," 5,161 ", 90.3 ,,,,,
2014,대전," 37,462 "," 36,288 ", 96.9 ," 19,562 "," 19,395 ", 99.1 ," 8,601 "," 8,576 ", 99.7 ," 7,889 "," 7,137 ", 90.5 ,,,,,
2014,울산," 8,415 "," 7,877 ", 93.6 ," 3,596 "," 3,589 ", 99.8 ," 2,596 "," 2,596 ", 100.0 ," 1,673 "," 1,202 ", 71.8 ,,,,,
2014,세종," 4,881 "," 4,695 ", 96.2 ," 2,979 "," 2,876 ", 96.5 ," 1,431 "," 1,411 ", 98.6 , 471 , 408 , 86.6 ,,,,,
2014,경기," 112,337 "," 108,418 ", 96.5 ," 39,734 "," 39,362 ", 99.1 ," 55,853 "," 55,841 ", 100.0 ," 13,030 "," 10,960 ", 84.1 ,,,,,
2014,강원," 28,000 "," 26,495 ", 94.6 ," 17,848 "," 17,381 ", 97.4 ," 6,289 "," 6,045 ", 96.1 ," 3,322 "," 2,528 ", 76.1 ,,,,,
2014,충북," 30,212 "," 28,937 ", 95.8 ," 17,542 "," 17,428 ", 99.4 ," 7,319 "," 6,980 ", 95.4 ," 4,315 "," 3,799 ", 88.0 ,,,,,
2014,충남," 44,599 "," 42,873 ", 96.1 ," 29,419 "," 28,477 ", 96.8 ," 7,117 "," 7,021 ", 98.7 ," 4,869 "," 4,280 ", 87.9 ,,,,,
2014,전북," 31,224 "," 28,726 ", 92.0 ," 15,729 "," 14,941 ", 95.0 ," 7,501 "," 7,088 ", 94.5 ," 4,489 "," 3,709 ", 82.6 ,,,,,
2014,전남," 20,448 "," 18,751 ", 91.7 ," 9,284 "," 8,731 ", 94.0 ," 9,391 "," 8,517 ", 90.7 ," 1,568 "," 1,325 ", 84.5 ,,,,,
2014,경북," 52,016 "," 47,404 ", 91.1 ," 28,089 "," 26,804 ", 95.4 ," 14,612 "," 13,482 ", 92.3 ," 5,845 "," 4,684 ", 80.1 ,,,,,
2014,경남," 30,345 "," 28,871 ", 95.1 ," 15,079 "," 14,729 ", 97.7 ," 9,818 "," 9,574 ", 97.5 ," 4,134 "," 3,322 ", 80.4 ,,,,,
2014,제주," 6,869 "," 6,020 ", 87.6 ," 3,124 "," 2,533 ", 81.1 ," 2,889 "," 2,727 ", 94.4 , 856 , 760 , 88.8 ,,,,,
2014,전국," 779,177 "," 706,052 ", 90.6 ," 340,447 "," 333,707 ", 98.0 ," 192,049 "," 188,087 ", 97.9 ," 130,523 "," 115,144 ", 88.2 ,,,,,
2015,서울," 234,568 "," 184,753 ", 78.8 ," 73,998 "," 73,579 ", 99.4 ," 15,889 "," 15,889 ", 100.0 ," 55,909 "," 50,953 ", 91.1 ,,,,,
2015,부산," 55,947 "," 54,447 ", 97.3 ," 31,327 "," 31,283 ", 99.9 ," 13,943 "," 13,832 ", 99.2 ," 8,420 "," 7,355 ", 87.4 ,,,,,
2015,대구," 31,236 "," 30,589 ", 97.9 ," 9,991 "," 9,931 ", 99.4 ," 13,952 "," 13,763 ", 98.6 ," 4,875 "," 4,477 ", 91.8 ,,,,,
2015,인천," 17,823 "," 17,198 ", 96.5 ," 6,578 "," 6,534 ", 99.3 ," 6,344 "," 6,344 ", 100.0 ," 3,293 "," 2,712 ", 82.4 ,,,,,
2015,광주," 26,950 "," 25,734 ", 95.5 ," 14,285 "," 13,859 ", 97.0 ," 6,299 "," 6,299 ", 100.0 ," 5,650 "," 4,860 ", 86.0 ,,,,,
2015,대전," 36,728 "," 35,594 ", 96.9 ," 19,108 "," 19,045 ", 99.7 ," 8,331 "," 8,331 ", 100.0 ," 7,889 "," 7,124 ", 90.3 ,,,,,
2015,울산," 8,275 "," 7,743 ", 93.6 ," 3,501 "," 3,494 ", 99.8 ," 2,521 "," 2,521 ", 100.0 ," 1,703 "," 1,238 ", 72.7 ,,,,,
2015,세종," 4,933 "," 4,779 ", 96.9 ," 2,976 "," 2,885 ", 96.9 ," 1,286 "," 1,267 ", 98.5 , 671 , 627 , 93.4 ,,,,,
2015,경기," 109,274 "," 106,477 ", 97.4 ," 39,119 "," 38,766 ", 99.1 ," 53,943 "," 53,943 ", 100.0 ," 13,037 "," 11,412 ", 87.5 ,,,,,
2015,강원," 27,814 "," 26,135 ", 94.0 ," 17,592 "," 17,078 ", 97.1 ," 6,328 "," 6,099 ", 96.4 ," 3,352 "," 2,416 ", 72.1 ,,,,,
2015,충북," 28,738 "," 27,967 ", 97.3 ," 17,189 "," 17,026 ", 99.1 ," 6,522 "," 6,395 ", 98.1 ," 4,291 "," 3,811 ", 88.8 ,,,,,
2015,충남," 42,958 "," 41,723 ", 97.1 ," 27,953 "," 27,428 ", 98.1 ," 6,990 "," 6,974 ", 99.8 ," 4,817 "," 4,285 ", 89.0 ,,,,,
2015,전북," 30,418 "," 28,660 ", 94.2 ," 14,997 "," 14,729 ", 98.2 ," 7,552 "," 7,407 ", 98.1 ," 4,436 "," 3,552 ", 80.1 ,,,,,
2015,전남," 19,095 "," 18,330 ", 96.0 ," 8,697 "," 8,446 ", 97.1 ," 8,663 "," 8,457 ", 97.6 ," 1,568 "," 1,260 ", 80.4 ,,,,,
2015,경북," 48,569 "," 45,727 ", 94.1 ," 26,802 "," 26,310 ", 98.2 ," 13,006 "," 12,516 ", 96.2 ," 5,625 "," 4,481 ", 79.7 ,,,,,
2015,경남," 28,807 "," 27,909 ", 96.9 ," 14,617 "," 14,515 ", 99.3 ," 8,664 "," 8,508 ", 98.2 ," 4,285 "," 3,645 ", 85.1 ,,,,,
2015,제주," 6,817 "," 6,264 ", 91.9 ," 3,124 "," 2,736 ", 87.6 ," 2,792 "," 2,708 ", 97.0 , 901 , 820 , 91.0 ,,,,,
2015,전국," 758,950 "," 690,029 ", 90.9 ," 331,854 "," 327,644 ", 98.7 ," 183,025 "," 181,253 ", 99.0 ," 130,722 "," 115,028 ", 88.0 ,,,,,
2016,서울," 233,659 "," 179,565 ", 76.8 ," 73,129 "," 72,796 ", 99.5 ," 16,037 "," 16,037 ", 100.0 ," 56,014 "," 49,339 ", 88.1 ,,,,,
2016,부산," 54,509 "," 52,912 ", 97.1 ," 30,610 "," 30,570 ", 99.9 ," 13,241 "," 13,144 ", 99.3 ," 8,402 "," 7,245 ", 86.2 ,,,,,
2016,대구," 30,610 "," 29,745 ", 97.2 ," 9,577 "," 9,532 ", 99.5 ," 13,679 "," 13,498 ", 98.7 ," 4,935 "," 4,297 ", 87.1 ,,,,,
2016,인천," 17,302 "," 16,727 ", 96.7 ," 6,318 "," 6,298 ", 99.7 ," 6,072 "," 6,073 ", 100.0 ," 3,303 "," 2,748 ", 83.2 ,,,,,
2016,광주," 26,162 "," 25,201 ", 96.3 ," 13,727 "," 13,659 ", 99.5 ," 6,084 "," 6,072 ", 99.8 ," 5,635 "," 4,754 ", 84.4 ,,,,,
2016,대전," 35,908 "," 34,490 ", 96.1 ," 18,380 "," 18,323 ", 99.7 ," 8,198 "," 8,171 ", 99.7 ," 7,890 "," 7,045 ", 89.3 ,,,,,
2016,울산," 7,695 "," 7,289 ", 94.7 ," 3,121 "," 3,123 ", 100.1 ," 2,432 "," 2,432 ", 100.0 ," 1,683 "," 1,275 ", 75.8 ,,,,,
2016,세종," 4,875 "," 4,668 ", 95.8 ," 2,945 "," 2,882 ", 97.9 ," 1,219 "," 1,219 ", 100.0 , 711 , 567 , 79.7 ,,,,,
2016,경기," 106,852 "," 103,740 ", 97.1 ," 38,198 "," 37,804 ", 99.0 ," 52,640 "," 52,569 ", 99.9 ," 12,839 "," 11,019 ", 85.8 ,,,,,
2016,강원," 26,584 "," 24,749 ", 93.1 ," 16,723 "," 16,146 ", 96.5 ," 5,904 "," 5,641 ", 95.5 ," 3,361 "," 2,366 ", 70.4 ,,,,,
2016,충북," 28,134 "," 27,011 ", 96.0 ," 16,681 "," 16,513 ", 99.0 ," 6,430 "," 6,060 ", 94.2 ," 4,291 "," 3,713 ", 86.5 ,,,,,
2016,충남," 41,393 "," 40,166 ", 97.0 ," 26,654 "," 26,108 ", 98.0 ," 6,711 "," 6,661 ", 99.3 ," 4,833 "," 4,300 ", 89.0 ,,,,,
2016,전북," 29,590 "," 27,870 ", 94.2 ," 14,442 "," 14,289 ", 98.9 ," 7,284 "," 6,979 ", 95.8 ," 4,471 "," 3,410 ", 76.3 ,,,,,
2016,전남," 18,882 "," 17,823 ", 94.4 ," 8,741 "," 8,511 ", 97.4 ," 8,393 "," 7,975 ", 95.0 ," 1,568 "," 1,165 ", 74.3 ,,,,,
